Comment,Sentiment
for me 4 hours it can be very uncomfortable like flying indigo from india to singapore with some flights as 5hrs,LABEL_0
here is a cookie bro no but no thank you ,LABEL_1
i would rather do greyhound,LABEL_1
how do you survive respect,LABEL_1
hav question who fly route berlin bkk stop in athen 1hr just stay in the same airplane no need to get off right are there many late amp cancelation happened frequently i really not sure but price for the other airline are super crazy ,LABEL_0
no way to travel ,LABEL_0
flew with scoot from sydney to sg never again lmao i think i can still handle sg tokyo or sg hk but that 7 30 hrs red eye flight was simply the most tiring leg of flight i ever took,LABEL_0
they are not even a budget airline once you add in luggage it is cheaper to fly a normal airline just a totally pointless exercise as far as i can see basically a scam ,LABEL_0
this is just dehumanising ,LABEL_0
video is great not recommended this airline specially long tirp ,LABEL_2
honestly the other airlines are not too much better same 3 3 3 configuration only major difference is in flight entertainment and a mediocre tv dinner,LABEL_0
seems kinda rough for that long of a flight ,LABEL_0
what on earth is economy class ,LABEL_0
definitely not for me ,LABEL_0
this just highlights how much other airlines overcharge you compared to the cost of the plane maintenance fuel staff etc removing inflight entertainment meals etc is not a huge saving yet there is a huge difference in ticket price ,LABEL_0
just fyi electricity on a plane is not free in the 787 there are separate generators that consume jet fuel to make electricity a regular plane has a generator section connected to the engines that takes more fuel to make electricity also the electronics to convert that energy into usable passenger adds weight making the plane less fuel efficient that said still a rip off omg never ever heard of an airline that charges for electricity heck even southwest does not do that oh wait they do not have it at all lol good video ,LABEL_0
how much is it to use the bathroom and is there number 2 surcharge ,LABEL_1
not even entertainment bruh,LABEL_0
if i really had to go places and paying anything extra for a proper flight would harm my financial stability or prohibit me from doing other stuff i want to do at my destination i would consider it but other than that that is just no form of flying i do not quite unterstand why low cost carriers are always so keen on showing the world that they are shitty eurowings is low cost too but they at least have a primitive ife on a plane setting you back 200 million dollars there is no reason to save the 50k they would have to pay for ife make people pay a few bucks to use it or even 3 sgd per film if you want but at least offer it this cabin looks like from 40 years ago there is nothing wrong with cutting costs as an airline in order to offer cheap tickets but why not make an effort to make things as comfortable as possible without spending lots of money cramp them seats in there make me pay for food and ife make me pay for the electricity if you feel the need but at least offer smth and dim the lights color these seats in a way i sent get eye cancer ,LABEL_0
would have been good if you told us the price of a comparable flight with a better carrier as i do not fly there otherwise amazing vid ,LABEL_2
honestly i think this video would attract many more casual viewers if it was called something more catchy like the longest low cost flight in the world then the rest of the video title great video otherwise ,LABEL_2
worst looking cabin food ever unless im dying from hunger their flghts notoriously famous for delays too again unless its a mega sale fare or only airline to fly that desti ,LABEL_0
it is the unscheduled delays and cancellations that make scoot a gamble,LABEL_0
im not impressed livestock transport flight ,LABEL_0
not all heroes wear capes some document long haul budget flights for the bros ,LABEL_1
without ife is one thing without ife amp power to charge my devices is whole other thing need to bring a few power bank to live thru that,LABEL_1
i avoid airlines that offer low fares then remove amenities like power ports for the sake of recovering revenue also no in flight entertainment come on also noted and agree other low cost carrier air asia has surprisingly decent food options in their santan line uncle chin is chicken rice is a personal favorite ,LABEL_2
no i would not ,LABEL_1
book singapore airlines instead they own scoot ,LABEL_1
i would not ,LABEL_1
stupid airline charges for power,LABEL_0
worst food they changed my flight schedule without proper notification and the ticket priced also not cheap they also charged me for extra 5 kilos of luggage that i did not even brought with me athens singapore manila and returned 2022  ,LABEL_0
scoot sucks even 4 hours singapore to manila and back recently connecting flights booked unwittingly by singapore air from south africa not cheap either both flights were late staff were inexperienced adolescents treated like sheep uncomfortable food was rubbish horrible experience as part of a long haul singapore has hand in this damaging their brand for sure ,LABEL_0
just went on a flight from sin to ool gold coast australia but now they are suspending the route so sad ,LABEL_0
i tried 7 hours on scoot from tokyo to singapore on business class thinking there will be entertainment there was 1 microwaved meal 1 bottled 300ml water and bigger seat not even wine if you want to purchase i ended up staring into blank and forcing myself to sleep starving  gt lt will do it again but with my own entertainment alot of food and a bottle of wine ,LABEL_1
ye,LABEL_1
i have tried jetstar from melbourne to bangkok approximately 9 10 hrs basic eco without food or drinks the worst experience ever mostly from the other passengers i was not aware that cheap price would come with lower quality people no manner loud noise walking around like they are visiting the zoo never do low cost long haul flight again ,LABEL_0
that kinda felt like always being at mercy i mean i am okay with having no food movies and blankets but that feeling like being looked upon as peasants having to pay for anything you touch is unsettling and on a long haul flight having no leg space and no reclining seat i know there are people who hardly care about such things and i really envy them but its dreadful for me on the other hand its perfect for a short journey say about 4 hours ,LABEL_0
please do vietjet is international economy ,LABEL_1
idc how uncomfortable this is need this to japan from the central us getting there cheap is so worth it or any asian country really because even in japan you get a good deal for the us dollar,LABEL_2
just a little aside 2 litres of water a day is a myth you need 2 litres of any liquid and that includes water contained in food as well as dehydrating drinks such as coffee ,LABEL_1
those meals looked like dog food,LABEL_0
the point about water is valid to a degree are you sure there was no way of asking for tap water i know for a fact you can do this on other budget airlines also water bottles exist,LABEL_1
so your main complain is a 333 ml water bottle at 3euros ,LABEL_0
was not this channel about silent reviews with captions and steadi cam style shots i liked the style better this is way too in your face ,LABEL_1
next level of payment for seat for toilet for food delivery you pay for food but not for delivery for smile ,LABEL_0
i feel the not so good quality of nasi lemak was there just to irritate the malaysians xd joke only dun take it too srsly,LABEL_0
wait you have actually changed the intro and started talking instead of subtitles looks like i have not seen your videos for a long time ,LABEL_0
weird concept if you book everything you are over 1000eur in may singapore airlines charges 876 for the same dates ,LABEL_1
just no ,LABEL_0
pay to use power source omg getoutathere,LABEL_1
tbh i do not see too much of a problem in the lack of in flight entertainment but the lack of wi fi is bad and water just water howdys from a person with kidney issues ,LABEL_0
not on your life great vids  ,LABEL_1
maybe i will try to fly with scootbut really not on such a long flight do they want extra money for using their toilets too and won t ever fly from this airport catastrophy the first berlin airport that is not in berlin that no one ever needed that costed much much more than it should have cost ,LABEL_0
it was the cheap passengers that wanted the lowest fare for creation of no thrill airlines of course you have to pay for expensive foods if you paid cheap tickets we have plenty of cattle class airlines in the u s spirit frontier southwest i do not feel sorry for poor people suffering ,LABEL_0
