Comment,Sentiment
for more weird stories check out our offbeat playlist  ,LABEL_1
lmao with that amount of metal the umbrella would still only cost around dollar190 overmarked,LABEL_1
lower the price,LABEL_1
if it is that windy i normally just stay home lol,LABEL_1
nahh they really made a designer branded umbrella wtf,LABEL_0
lifetime warranty love it ,LABEL_2
phil ,LABEL_1
a broken umbrella is better than an injury,LABEL_1
bazooka ,LABEL_1
 fire   ,LABEL_1
you wear safty goggles just to test out an umbrella when you do not even use goggles when theres an actual windy day fr white people these days anything that they do is just white ,LABEL_0
ufff what if i just go veeeeeeeeeeeee,LABEL_1
 gt amalgum gt aircraft grade aluminum gt fiberglass none of these words mean anything,LABEL_0
the ones marry poppins is using d,LABEL_1
it is annoying when umbrellas do that but dollar350 and it still flips inside out it is not worth it okay it did not get bent out of shape it did not keep me dry either what is the point ,LABEL_0
should be able to have sex with it for 350 dollars ,LABEL_1
i have this brand along with other expensive umbrellas when it is extremely gusty though i still put it down momentarily i see the tests but do not want to be a tester ,LABEL_0
i once had a dollar15 umbrella break in 5 minutes granted it was probably a dollar5 umbrella with a mark up threw it away in a subway bathroom,LABEL_0
fkn commercial,LABEL_0
why do not they make them with some kind of belt around the edges that will not allow yhe umbrella to turn inside out ,LABEL_0
wind machine,LABEL_1
1 umbrella for dollar350 or 35 umbrellas for dollar10 each  i will just buy the 35 umbrellas ,LABEL_1
 aircraft grade aluminium ,LABEL_1
my fulton stormforce has lasted for years,LABEL_1
i have a 100 pesos umbrella older that my son i bought way back in college still as good as new i never used it though because its color clashes with my eye color ,LABEL_2
350 dollars for umbrella is not worth it ,LABEL_0
that meripopens right there,LABEL_1
dollar350 greedy ass people ,LABEL_0
hilarious 350 for an umbrella ,LABEL_1
will the penguin get one ,LABEL_1
i am still using the same umbrella from over 12 years ago that has yet to flip inside out even in the strongest winds best dollar10 i ever spent at wal mart,LABEL_2
try jumping off a tall building with the open umbrella just like magilla gorilla,LABEL_1
trump got a new one ,LABEL_1
but its long i want foldable,LABEL_1
dollar350 for something i am inevitably going to lose idk about that one probably need to geo tag it so you can at least try and find it ,LABEL_0
for dollar350 i expect it to have bullet proof and ammunition in it kingsman baby ,LABEL_1
just bought a huge 80 umbrella for dollar40,LABEL_1
i was in this video it was pretty painful ,LABEL_0
such captivating news ,LABEL_2
i thought she would fly holding with that umbrella,LABEL_1
wow get that thing down to 100 and you guys might have something here ,LABEL_1
the question is how many of the 4 1 million viewers bought a dollar 350 umbrella ,LABEL_1
finally an umbrella that i can use to float down after jumping off a building childhood dream come true,LABEL_2
hahahahahahahahahaha just wear a hoodie pussies its water,LABEL_1
they do realize that the rain travels sideways when it is that windy right umbrellas only work in a drizzle or mild rain storm but what do i know i only grew up with hurricanes in florida,LABEL_1
looks like a euroschirm,LABEL_1
literally all of my umbrellas do the same thing blown inside out pops back to normal and sure as heck does not require dollar350 oo to do so my most expensive one was dollar50 oo with the least expensive one being dollar15 oo seriously dollar350 oo is this a prank ,LABEL_1
bro where kid laroy,LABEL_1
when media amp companies work together ,LABEL_1
she is a good reporter,LABEL_2
catch the rainbow ,LABEL_2
just wear a raincoat and rain boots  ,LABEL_1
just bought a eez y from amazon apparently indestructible,LABEL_2
350 for something that will go missing ,LABEL_0
hahahahshshhsb great video,LABEL_2
it is not worth it,LABEL_0
dollar300 bloody hell mine only cost me gbp39 and holds up nicely even has a nice black and red motif pity the handle is not a question mark ,LABEL_2
fake wind,LABEL_1
merry popings yo ,LABEL_1
but my question is why use a umbrella on a windy day ,LABEL_1
that costs hit deep ,LABEL_1
if it can blow it inside out still not worth it bye ,LABEL_0
bruh dollar350  ,LABEL_1
350 for an umbrella is it made of gold i would be impressed when the wind machine can not turn it inside out i have a 20 00 umbrella that does the same thing that the 350 dollar umbrella does smfh,LABEL_1
i can now fly,LABEL_2
does the average person break dollar350 worth of cheap umbrellas in their life time ,LABEL_1
ride a skateboard while holding that at the direction you want t go ,LABEL_1
hope this umbrella can be a slider from top,LABEL_2
is this the umbrella they used in bad piggies ,LABEL_0
pay 350usd to fly,LABEL_1
um it is called a fan ,LABEL_1
this popping back into place we used to do it all the time with out umbrellas during childhood still that umbrella is functional ,LABEL_1
 what mother nature had to say mother nature i have yet to release a tornado,LABEL_1
 with a wind machine a large size xxxxxxxxxxl electric fan,LABEL_1
but can it work as a parachute,LABEL_1
why would you even turn on your umbrella in a large gush of wind id rather risk getting wet than flying with that umbrella,LABEL_0
next thing you know us gives contract to this company to build anti icbm umbrella ,LABEL_1
for dollar350 i can buy at least 20 or so umbrellas to last myself and my future family a lifetime ,LABEL_2
at that point just get soaked it is only water ,LABEL_1
let is see will it withstand a cat 5,LABEL_1
i remember a ship once considered indistructable and jack died for rose,LABEL_1
do not let your 3 years old hold that on a windy day ,LABEL_0
it may be indestructible but it may still fly away heh ,LABEL_1
if an umbrella does do that in a storm make it face the wind and it will pop back to it is normal pose,LABEL_1
that is why they call it a new york umbrella,LABEL_1
can we fly with it ,LABEL_1
just get a storm umbrella it does not flip inside out,LABEL_1
i would rather buy 350 umbrellas than buying one umbrella with 350,LABEL_1
dollar350 what is it protecting us from meteor showers ,LABEL_1
i will use that as a parachute ,LABEL_1
best way to mary poppins,LABEL_2
yes finally i can now glide with umbrella the problem is money,LABEL_2
now we know where mary poppins was getting her umbrellas,LABEL_1
it is all fun and games untill u fly with that expensive umbrella,LABEL_1
useless,LABEL_0
thats nice,LABEL_2
bring it up against south east asia is typhoons ,LABEL_1
350 dollars for an umbrella i better cure my depression with it with that kind of price,LABEL_2
if you buy this you are a waste of l1f3 and clearly make too much money,LABEL_0
my 60 dollar umbrella can do that,LABEL_1
umbrella so strong you can fly with it and wield it like thor is hammer ,LABEL_2
wow just wow lol ,LABEL_2
crazy bro i was watching this half way before i realized that this was not news this is just an advertisement for an umbrella dressed up as a news story,LABEL_0
normally i would not say stuff like this is actual news but no lie an umbrella you do not gotta replace after ten minutes in a storm yeah this is the fluff stuff people could use more often in their lives ,LABEL_1
if i can not be mary poppins with that umbrella then it ai not shiii,LABEL_0
there needs to be wind release flaps thus much less chance of blowing inside out or flying away like marry poppins ,LABEL_1
antifa is preferred weapon of choice ,LABEL_0
dollar350 that umbrella better be hand crafted by mary poppins ,LABEL_1
honestly i would prefer an umbrella that bends and flips inside out when it is windy than the one that pulls me into the middle of the road if i do not let go of it,LABEL_1
the aerodynamic one is better you can use it on a bike in a storm,LABEL_2
mary poppins ,LABEL_1
what if an umbrella that makes vent holes with a press of a button so there will be no air drag id buy that for 350 ,LABEL_1
 wow look what happened the energy was real with that one,LABEL_2
just dodge the water,LABEL_1
even though i do not need it i feel an urge to get an umbrella,LABEL_1
inside edition you changed our lives with this ,LABEL_2
dollar350  stop it,LABEL_0
i was like that wind machine looks like a basic fan then i heard that motor dam lol,LABEL_1
marry poppins approved ,LABEL_1
what happens when the rain blows in from the side ,LABEL_1
i always thought you could just poke some holes in it maybe a thin mesh there is no need to make them air tight just water tight ,LABEL_1
nah the real test would be whether you can use the umbrella as a parachute ,LABEL_1
checkout the brand repel umbrella i have two of them and use them here in chicago all the time,LABEL_1
reporter found floating in the air ,LABEL_1
not a good idea especially for shorter people my grandmother was about 5ft and she was once lifted by the wind from a bridge using a normal umbrella ,LABEL_0
i had an umbrella for almost 3 years it does the same thing very resistent and sturdy and flips inside out and restore it costed me 30 will not say the brand as i am not sponsored by them ,LABEL_1
hm dollar350 for a umbrella do not you just need it for when it rains you can literally buy a dollar20 one that will last long if you take care of it,LABEL_2
 it even happened to the president i thought the wind would spare the president bad wind bad bad wind ,LABEL_0
i do not use umbrellas so i will not be buying that,LABEL_0
a wind machine i always thought it was called a fan silly me,LABEL_1
no,LABEL_1
mary poppins will be placing a bulk order for certain,LABEL_1
they have not shot or slashed it,LABEL_1
stab it it is not indestructible,LABEL_0
all that effort just not to get wet pff amateurs,LABEL_0
i would rather just keep breaking and buying cheap u bella is sorry no umbrella worth that much,LABEL_0
a while ago i said where is the innovation on umbrellas never seen this ok ,LABEL_1
so it is the exact same ,LABEL_1
but can this umbrella fill my tank with gas ,LABEL_1
he got it made in china for dollar 3 50 amp trying to sell it to the american fools for dollar350 it bent backwards like any other cheap umbrella ,LABEL_0
350bucks for umbrella it seems rip off ,LABEL_0
this is so stupid ican not believe i am watching it,LABEL_0
a crazy windy storm like that only happens once in a while your better off buying another 10 dollar umbrella than paying 350 dollars lol that guy probably makes those umbrellas for less than 30 bucks and y all paying 350,LABEL_1
you will soon to see this umbrella flying around during the storm if the user has butterfingers good luck to yr purchase ,LABEL_2
too expensive for an umbrella and the people whom can afford this type of umbrella probably does not need an umbrella lol ,LABEL_0
that first reporter literally almost got her arms detached ,LABEL_0
i will give it the old parachute test from the top of the steps if i float gently to earth we may be onto something i am not saying the bed sheet does not work but after a few tests we may need to go up higher perhaps to really get some wind up underneath,LABEL_1
i m not impressed,LABEL_0
quit it dorthy,LABEL_0
i think probably i sell my kidney to affort it,LABEL_1
i will just say no,LABEL_0
failed advertising ,LABEL_0
in australia we call them fans ,LABEL_1
