Comment,Sentiment
Sequence,LABEL_1
it is a beautiful airplane ,LABEL_2
great ,LABEL_2
the 787 is just gorgeous gor geous ,LABEL_2
that is a beautiful aircraft and always remember blue side up i would love to fly that bird ,LABEL_2
proud of vietnam airlines,LABEL_2
that is a stuntplane not a passenger plane,LABEL_1
ok by video in paris boeing 787 900 vertical and very good thank you emagem 2015 boeing already lands in brazil 787 900 polish lot landed in bel m do par third time that lot company lands at bel m international airport and more good,LABEL_2
awesome,LABEL_2
make a vietnam 773,LABEL_1
the perfect plane,LABEL_2
i saw an a350 do the same thing at oshkosh 2015 true beauty ,LABEL_2
quite efficiency,LABEL_1
magnificent ,LABEL_2
awesome plane ,LABEL_2
it is clearly colonial one ,LABEL_0
this is the only time this aircraft will have adequate seating space ,LABEL_1
it is a real plane i personally worked on it,LABEL_2
i got to work on parts for it but rarely got to see anything that looks like a plane they did give us a tour of 003 after it came down to get painted near my site though that was cool they had it set up as a demo plane with various configurations,LABEL_2
i think he means this exact one in the image ,LABEL_1
,LABEL_1
true and at select times it did work however it seems the cabin crew have the ability to lock the opacity at particular settings i totally get that at dusk and dawn not in the pitch black night ,LABEL_1
i want to put a king sized bed at the very back some couches on the sides that is my kind of plane ,LABEL_2
this is what dreams are made of,LABEL_2
that time of year for this post again ,LABEL_1
welcome to air india,LABEL_2
i think this is the one owned by a saudi prince and i think it was stored in switzerland next to his late father b747 8i  they could not find a buyer for it totally empty he has a b767 300 with a u s registration still active,LABEL_1
787 freighter when ,LABEL_1
