Comment,Sentiment
Sequence,LABEL_1
be free when you become a pilot  ,LABEL_2
boeing has sold more than 700 of these bad boys ,LABEL_0
gorgeous and what wings super i wish i could make a barrel ,LABEL_2
im vietnamese so do not dislike m3 plz,LABEL_1
i have been on 787 8 amazing experience,LABEL_2
nylon eyokbc ,LABEL_1
hungarian folk tales,LABEL_1
 boeing can my company please use this video for commercial use we will reference ,LABEL_1
imprint creativity and a touch excellence boeing submitted the best design in modern aircraft engineering,LABEL_2
congratulations on the video and sound imagen in paris 2015 the boeing 787 900 dream l nea,LABEL_2
thank you for the sound used in the video of the boeing 787 900 in paris france,LABEL_2
amazing takeoff and landing,LABEL_2
flying like a peregrine falcon ,LABEL_1
gentile agile giants of the sky onya boeing ,LABEL_1
congratulations on the curious boeing 787 900 video vical flight in paris thank you for your attention,LABEL_2
flying like a bird ,LABEL_1
what an awesome flying display love it ,LABEL_2
that is my boeing ,LABEL_2
what have the wright brothers wrought ,LABEL_1
why do not the 787 pilots to vertical takeoffs in real life,LABEL_1
hey guys i love airbus,LABEL_2
it is like a swallow swallow agile and the wings are ideal but was the aircraft capable of such a maneuver  i actually happened to see it standing still standing and flying are different ,LABEL_1
the boeing dreamliner programme announced in 2003 was supposed to cost dollar6 billion and see the plane take to the air in 2008 the final bill was dollar32 billion and the 787 dreamliner arrived three years late ,LABEL_1
almost seems like the wings adjust i know they all flex as he maneuvered like they wer stretching back and vertically outfuknstanding wat beauty ,LABEL_1
i was thinking the same thing,LABEL_1
yup the perfect amount of legroom ,LABEL_2
 how much legroom do you want sir  yes ,LABEL_1
while it is a cool relic the fokker 100 can not be compared to this also the gift shop with the dc 9 in klm colors is cool but its also not a klm gift shop just a small aviation themed shop ,LABEL_2
so do i you can literally see the wings and tarmac out the windows bigger version of the same pic further down in the comments,LABEL_1
there is a higher res photo down thread where you can clearly see trees and wings outside of the windows ,LABEL_1
so many activities it is making my head spin how many activities we could do just for the record that is what will ferrell actually said on step brothers consider it the ,LABEL_1
,LABEL_1
this one i think is owned by a saudi prince which was supposed to replace his aging b767 300,LABEL_1
well the cabin itself is 18 feet wide ,LABEL_1
straight out of star trek ,LABEL_1
the panel above your seat with the air and the attendant call button is so high in the center you can not reach it sitting down,LABEL_1
