Comment,Sentiment
ah on 05 40 the famous vomid turn or in german kotzkurve  very nice ,LABEL_2
fck berlin litrally the worst town in germany,LABEL_0
scoot is not really cheap for a budget carrier if you are willing to top up a bit you may fly with a normal carrier and get food water entertainment ,LABEL_1
scoot could have just provided a video screen for entertainment probably the loneliest flight ever ,LABEL_0
i like the idea of taking out all the baked in costs and presenting them to the consumer to choose what they actually want i only fly like 3 hour domestic u s flights and do not need power data or entertainment ,LABEL_2
i once did a 13 5 hour flight from kl to london on low cost airline airasia and it was actually one of the most pleasant flights i have ever taken i have flown 225 times ,LABEL_2
hot or,LABEL_1
what did you go to singapore for,LABEL_1
the moment you thought the couple would fly further to melbourne in the background woah f dude that seemed to fit perfectly when cutting ,LABEL_2
wow those two meals looked absolutely brutally bad jesus,LABEL_0
when you look at scoot is destination map in europe and the middle east they basically serve destinations that are too small for it to be profitable to serve with singapore airlines ,LABEL_0
max 1h even this is long ,LABEL_1
the money saved i can upgrade to a 5 star hotel for a week i take that,LABEL_2
electricity on the plane is not free it puts load on the electrical systems which in turn puts load on the generator which by virtual of being connected to the engines puts load on to which consumes fuel so no it is not free if it is provided free it will be charged in the ticket there will be the add issue of calculating fuel to load as it cost fuel to carry more fuel so ya it is not that simple ,LABEL_0
flew on tui uk 788 from uk to langkawi in malaysia in economy it looks like a bit more room with 300 passengers and food and drinks were included it is a long way but at least we had a cruise to look forward to ,LABEL_2
there was a low cost airline peoplexpress based in newark new jersey they started service april 30 1981 and merged with continental february 01 1987 they flew boeing 727 200 boeing 737 100 200 and 747 100 200 they flew the 747s to london gatwick and brussels and on transcontinental flights i flew them quite a bit they changed for onboard services fifty cents for sodas juice coffee tea peanuts brownies etc snack packs for dollar6 00 on transcontinental and international flights the snack packs were more substantial their 747s had first class they called 1st class premium service i believe they did show a movie on their 747 flights they charged dollar3 00 per checked baggage and carryon no charge,LABEL_1
norse from berlin to the us is the maximum,LABEL_1
idea trip report hifly,LABEL_1
i flew scoot from athens to bali via singapore in april 2022 for just euros340 both ways and could not care less about the lack of the features you get from other long haul airlines it was just perfect love scoot ,LABEL_2
12 hours lowcost is definitely a challenge,LABEL_1
i was in scoot for 2 hr flight from bkk to sin and made a full plan to kill the ceo of scoot ,LABEL_0
had a flight from berlin to bkk with scoot in 2022 and it was only 280euros roundtrip want to have these prices back haha,LABEL_2
flyscoot is better than airasia but airasia win for the meal price 3 times cheaper ,LABEL_2
i was surprised by sas with their free tea coffee but expensive water like scoot after a 4 5hr at the start of the journey with no vouchers i would have expected to get a cup of water on board ,LABEL_2
amazing content david must have been exhilarating to be landing in a thunderstorm ,LABEL_2
home titanick family all order new wooden carved houses,LABEL_1
wow,LABEL_1
787 9 dreamliner,LABEL_1
fgyhhhhijj nbbb bbbbbbbfdfyxnbjbbn jjn jjjj,LABEL_1
wow,LABEL_1
 1 18 how did they edit that back of the wing like it looks real,LABEL_1
this is so hard ,LABEL_0
i love this vidio,LABEL_2
 1 27 the tail says coot is this right edit oh yes it is the s is missing at was painted on in the paint shop oh i understand now ,LABEL_1
hddjjdffueudjrheuruye780 dhdhye6dbd bx bdbdhshsg hdhdhd,LABEL_1
just extraordinary,LABEL_2
hope you guys at scoot can break away with the rr engine tradition and have some genx on your next 787 purchase ,LABEL_2
must have took at least a few years to make it,LABEL_1
3d model 787 9 ,LABEL_1
u flew a llc tf were u expecting a red carpet and all first class lie down seats ,LABEL_0
that airport is amazing i would spend all day there even if i was not flying anywhere ,LABEL_2
singapore is a wonderful place but the singaporean people do not take criticism well as they hold a belief that the are superior to asian nations ,LABEL_1
what a dreamliner,LABEL_1
damn i thought that the scoot logo in the thumbnail is an egg,LABEL_0
can i check how tall are you ,LABEL_1
liverpool fc you legend ,LABEL_2
please try dragon air hong kong to beijing ,LABEL_1
that sats lounge is appalling made the no 1 lounge at bhx look amazing ,LABEL_0
loved the video only complaint is that you support liverpool not a big fan of that part ,LABEL_2
wow josh your video clips are really amazing you have taken a large variety of flights from first class in the most luxury airlines in the world to an economy class seat in a low cost airline ,LABEL_2
congratulations for your dream jouney,LABEL_2
amazing video,LABEL_2
really good video josh my new favourite channel ,LABEL_2
hi may i know if that is the super seat or the stretch seat ,LABEL_1
did the booking page say it wasa pok mon livery plane or cookie box ,LABEL_1
good price but not worth it for a long haul flight agree with you totally you are cute but wow what a bedroom haha ,LABEL_2
such a cute and exciting opening i love it hihi,LABEL_2
sexy legs jw ,LABEL_1
the seat looked good there seems plenty of legume with plenty of mushroom must be a wake up kale from the thai jet next to it just says it all do not settle for medi okra ,LABEL_2
so do u work ,LABEL_1
scoot is an absolute rubbish airline and nobody should have to endure their lack of amenities and service on a long haul flight avoid at all cost ,LABEL_0
etihad and qatar charge extra for bulkhead seats in economy scoot looked empty ,LABEL_0
what is with your hand in your logo,LABEL_1
looks like you had a retort meal josh ,LABEL_1
love pok mon layouts,LABEL_2
so cool man ,LABEL_2
sam looks like pikachu ,LABEL_1
w fizz my guy,LABEL_1
loved your video sam learned a lot such a great idea to experiment and share their work i would love to be welcomed by you ,LABEL_2
woah that looks soo fun ,LABEL_2
very nice of scoot to give you thr opportunity to experience the work they do kudos,LABEL_2
does he get paid doing all this ,LABEL_1
we are flying scoot in a few months time from australia to singapore i read complaints online but most seem quite minor cost of water which does seem excessive also cost of charging devices food quality anyway it is a budget airline with good aircraft so i think we will survive ,LABEL_2
 03 11 cute couple when is the wedding ,LABEL_2
this was awesome thanks for sharing this sam ,LABEL_2
nice work ,LABEL_2
omg bubu looks hottt  ,LABEL_2
love seeing all the hard work the fa is do,LABEL_2
awesome video you did very well indeed ,LABEL_2
what a wonderful experience awesome ,LABEL_2
wow air pprentice ,LABEL_1
super cool to watch this,LABEL_2
