Comment,Sentiment
3 4 hours ,LABEL_1
great videos always wonder how you shoot the hyperlapses and timelapses in airport do you need permission from airport security or authorities ,LABEL_1
bro my guy was on scoot for 1 hours when i could not even survive 3,LABEL_0
2 5 hours only ,LABEL_1
plus how early do u get to the airport ,LABEL_1
lol try melbourne to london with scoot and 18 hour layover singapore airport,LABEL_1
the max is 3 hrs,LABEL_1
bro is big bird 180cm ,LABEL_1
that video was so nostalagic,LABEL_2
this is what you might call a flight with the bare minimum ,LABEL_1
3hrs,LABEL_1
did just 4 30 h from stuttgart to hurghada kids on plane should be banned  ,LABEL_0
will definitely fly scoot if the price is right ,LABEL_2
depends the flight,LABEL_1
fck me i thought i book for singapore airlines but turns out it was operate by scoot rip my trip to melbourne ,LABEL_0
max 5 hours,LABEL_1
maximum on a low cost for me is 0 hours 0 minutes 0 seconds ,LABEL_1
i did scoot gold coast to hanoi via singapore and it was ok i would give them a chance to get me to europe at least,LABEL_2
2 hours max,LABEL_1
you and a lot of commenters here seem to quite like scoot for its no frills for the absolute lowest price approach however what always kept me from flying scoot is that it rarely turned out to be this incredible deal that some other commenters were lucky enough to get looking at a return ber sin itinerary for various dates this year scoot is always the cheapest with around 700euros but depending on the dates there are usually turkish or qatar airlines flights available for just 20euros 100euros more even if you do not care about any amenities this would be worth it just for the checked bag alone that is why to me it always seems like flying scoot would only ever be worth it if you are flying one way or if you need the absolute fastest connection between berlin athens to singapore ,LABEL_2
4hrs max,LABEL_1
when broke people fly long hauls ,LABEL_1
17 hours from singapore to new york on this airline will be brutal 3 hours is okay if flying regional,LABEL_1
i always take the legroom reviews with a grain of salt i am 193cm tall myself british airways short haul economy has a pitch of 30 inches even if i sit all the way to the back of the seat my legs will still hit the seat in front of me i think the scoot 787 comes with 31 inches if pitch i highly doubt that i will be able to do this for 12 hour on board that 787 ,LABEL_0
13 hours on a plane what a nightmare im tired after 2 hours  ,LABEL_0
4 hours uk to canaries or greece,LABEL_1
5 hours on ryanair dublin to cyprus is about all i can handle,LABEL_1
6hrs,LABEL_1
and scoot flies to perth,LABEL_1
longest ulcc flight i have done was 5 hours long on frontier never again ,LABEL_0
i have done lgw to singapore on norwegian 13 5 hours,LABEL_1
going in a crampy a320 vueling for 4 5 hours without entertainment in april longest flight i have done in a low cost,LABEL_1
i did 6hrs on jetstar i just wanted to get the f out,LABEL_0
 1 27 aerom xico ,LABEL_1
flew 14 hours before on a budget airline on airasia paid for two meals ,LABEL_1
4 hours lmao,LABEL_1
my longest lcc was 8 hours from singapore to sydney by scoot i was okay with it not sure if i am able to do 13 hours or not lol ,LABEL_2
longest i did was 9 5 hours on scoot from sapporo to singapore not that bad until you start running out of water ,LABEL_1
amazing how they turn it around so quickly for another flight of 12hours,LABEL_2
great video but really sounds scary d u did awesome ,LABEL_2
scoot in summary a total disgrace to singapore airlines ,LABEL_0
i flew on one they crammed as many seats as possible do not even serve water even if you are dying,LABEL_0
loving the new intro in the latest brutally honest episodes fantastic video as usual ,LABEL_2
i would try scoot premium 3 2 3 upfront ,LABEL_1
maximum 4h hours without anything,LABEL_1
i went on swoop airlines boeing 737 800 from alberta canada to cancun mexico it was 5 hours and 30ish minutes that is my longest low cost airline flight ,LABEL_2
4 hours,LABEL_1
flew from singapore to tokio at the beginning of feb this year with scoot the overall experience was ok but from singapore to tokio scoot osnt that much cheaper than e g singapore airlines next time i will consider them instead but as someone who flew quite a lot with scoot i can say especially on short to medium haul flights the experience is quite good for what you pay ,LABEL_2
seeing a heavy dreamliner performing the steep turn just after takeoff in berlin is just awesome great views d,LABEL_2
tried out vietjetair for 3 hours from saigon to chengdu and back it was miserable vj is launching its australia mel syd route so i would imagine a zero entertainment a330 would be terrible for everyone,LABEL_0
maximum 3 hrs ,LABEL_1
scoot is getting from bad to worse ,LABEL_0
there was a point when norwegian flew between london and singapore,LABEL_1
i would not agree about the charging ports they are almost never existant on ulccs so this is a bonus to have plus if your business model is based on absolute minimal costs someones gotta pay for the installation maintenance and extra fuel burn from having them just do not use them if you do not have to ,LABEL_0
did singapore to melbourne on scoot 7 hours and that is the maximum time i would be on an lcc,LABEL_1
max 5 hours,LABEL_1
such a shame about the mediore food you would expect better from a singaporean carrier of all things even a budget one especially as air asia really do a fantastic job i have flown on air asia and air asia x and their meals have always been fantastic value and something i actively look forward to when flying with them ,LABEL_2
i do not think the power is free at all my guess is they are not running that on batteries but on jet fuel that is converted to electricity in that case it is expensive electricity ,LABEL_0
my maximum would be 4 hours,LABEL_1
5 hours top ,LABEL_1
woah 13 hours is insane i flew them for 8 hours and was already regretting it good job though ,LABEL_0
